x	k=4	k=3	k=2	k=1
4.1422	7.5304	-7.3303	-23.6248	-31.7242
4.158	8.009	-2.7251	-21.559	-28.2759
4.1738	2.9366	-3.2967	-21.1201	-26.0478
4.1895	-2.531	-7.036	-22.8345	-25.6565
4.2052	-5.8335	-11.4392	-26.268	-20.2371
4.221	-4.9559	-10.3094	-26.556	-17.7296
4.2367	-9.9257	-7.0137	-28.0889	-17.5949
4.2525	-3.35	-10.4822	-30.3069	-23.3826
4.2683	5.3524	-10.1817	-29.2467	-24.5416
4.284	6.8628	-7.1509	-29.293	-19.5276
4.2997	2.7992	-9.0526	-26.1087	-20.8763
4.3155	-17.923	-12.9679	-26.5066	-23.4764
4.3312	-7.3497	-12.7034	-26.9503	-14.7118
4.347	-7.8735	-8.3906	-24.8092	-12.6627
4.3627	-5.5323	-11.2238	-21.9618	-12.3612
4.3785	1.6589	-17.5881	-21.3569	-12.9312
4.3942	2.0808	-11.6279	-23.2017	-11.4063
4.41	-1.1947	-13.0365	-23.8474	-9.6228
4.4257	3.7114	-13.268	-23.1812	-15.0529
4.4415	1.6701	-10.0193	-25.4539	-22.9768
4.4573	-3.126	-9.8051	-29.5306	-24.1868
4.473	-3.5289	-16.028	-26.4864	-18.5013
4.4887	-7.2104	-25.1971	-28.7013	-11.8826
4.5045	-7.6808	-13.3934	-30.2866	-9.4816
4.5202	1.6741	-13.281	-27.7878	-10.3722
4.536	2.0252	-26.4711	-27.754	-13.7922
4.5517	-7.8633	-11.4447	-25.4769	-28.3373
4.5675	-5.5516	-9.7222	-20.7613	-17.2545
4.5833	-1.6649	-12.9335	-22.1552	-18.6268
4.599	0.088014	-13.4816	-24.9035	-21.2291
4.6147	-2.8847	-12.2635	-25.3178	-17.3855
4.6305	-9.801	-13.1105	-28.2568	-16.3324
4.6463	-11.2166	-28.9152	-24.9219	-20.0505
4.662	-12.8576	-17.579	-26.2161	-18.3997
4.6777	-12.5364	-16.9307	-30.0035	-13.2295
4.6935	-8.7777	-26.7532	-35.1873	-14.0993
4.7092	-10.9764	-26.2787	-35.518	-19.9573
4.725	-25.1819	-22.5448	-30.6723	-28.2895
4.7407	-23.4719	-21.2973	-28.3586	-23.7634
4.7565	-24.3671	-26.1535	-31.0631	-22.3042
4.7723	-21.8768	-30.2191	-32.7872	-17.2043
4.788	-23.4787	-28.1951	-37.8151	-22.3163
4.8038	-28.4851	-31.3417	-47.9074	-29.2825
4.8195	-24.053	-29.8018	-64.5243	-26.9659
4.8352	-31.4196	-35.0616	-53.8513	-30.3915
4.851	-33.4295	-38.5665	-56.6412	-35.9135
4.8667	-30.7657	-34.4058	-46.3625	-37.0437
4.8825	-22.2303	-31.5594	-42.4653	-31.6825
4.8983	-22.2825	-32.9075	-41.8259	-30.8275
4.914	-34.4562	-33.6046	-43.6398	-35.1427
4.9298	-31.5299	-39.5203	-51.4526	-36.2733
4.9455	-43.0543	-44.3256	-56.9601	-34.3332
4.9613	-34.3535	-41.8544	-49.586	-40.6005
4.977	-28.6782	-44.4677	-48.4718	-44.4831
4.9928	-28.8743	-48.8159	-53.0642	-43.6379
5.0085	-36.212	-55.843	-58.553	-50.8737
5.0242	-53.1443	-64.2442	-69.6691	-43.3473
5.04	-54.5602	-45.9244	-51.7524	-39.8893
5.0557	-45.5444	-44.2839	-53.6528	-48.1729
5.0715	-53.8934	-46.4979	-53.3601	-48.2414
5.0873	-47.0227	-52.5533	-54.7554	-65.6925
5.103	-41.6135	-52.5217	-53.3986	-48.198
5.1187	-44.3247	-55.7304	-53.5367	-51.0283
5.1345	-45.5059	-54.4399	-55.9464	-54.7395
5.1502	-47.8626	-65.0238	-55.337	-54.5582
5.166	-61.8949	-52.1522	-54.8508	-51.4568
5.1818	-49.6896	-60.4874	-56.0515	-57.5628
5.1975	-44.2695	-54.3808	-55.4789	-53.8686
5.2132	-56.7672	-61.8847	-54.4536	-53.4971
5.229	-49.0711	-55.4857	-54.3967	-53.8435
5.2447	-64.3298	-58.6248	-55.2733	-53.9023
5.2605	-58.377	-55.7261	-55.2489	-54.7315
5.2763	-53.3557	-60.5398	-55.3591	-53.9377
5.292	-61.6786	-55.4441	-54.7042	-53.7938
5.3077	-52.694	-58.2561	-54.6946	-55.1158
5.3235	-57.7426	-57.5219	-55.3069	-53.8873
5.3392	-59.4757	-57.684	-55.0049	-53.8436
5.355	-65.6383	-56.6405	-54.8816	-54.3749
5.3708	-54.7286	-59.6944	-54.827	-54.398
5.3865	-59.3033	-55.727	-55.088	-54.5649
5.4023	-58.7046	-59.4743	-55.169	-53.6567
5.418	-63.366	-56.8661	-54.9202	-54.4745
5.4337	-58.4909	-57.7907	-54.9163	-54.2693
5.4495	-58.8945	-57.6562	-55.0376	-54.2331
5.4653	-60.2405	-57.8776	-54.9855	-54.1455
5.481	-59.2584	-57.2079	-54.92	-54.3559
5.4968	-63.2145	-58.2845	-54.9246	-54.2228
5.5125	-55.566	-57.0151	-55.0648	-54.0038
